ARTICLE CODE|DESCRIPTION|BRAND|BRAND DESCRIPTION|BAR CODE (EAN)|PROFIT CENTER|PROFIT CENTER DESCRIPTION|ARTICLE TYPE|ARTICLE TYPE DESCRIPTION|CATEGORY|CATEGORY DESCRIPTION|SUB CATEGORY|SUB CATEGORY DESCRIPTION|MERCHANDISE CATEGORY|MERCHANDISE CATEGORY DESCRIPTION|RETAIL PRICE|CURRENCY|ACTIVE STATUS|STORE ID|STORE DESCRIPTION|COUNTRY|REMARKS 1|REMARKS 2|REMARKS 3
40851|BVF MJNLE ENG TRG MATERIAL|BVF|BVLGARI|2050000058738|BVF23|BVLGARI MON JASMIN NOIR L'EAU EXQUISE|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
40853|BVF MJNLE CHINESE TRG MATERIAL|BVF|BVLGARI|2050000058752|BVF23|BVLGARI MON JASMIN NOIR L'EAU EXQUISE|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
40860|RP BY BVF40860-BVF JN ELIXIR SLEEVE (X5)|BVF|BVLGARI|2050000125058|BVF19|BVLGARI JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9030|PRINT MATERIAL|0|IDR|N|||ID|FC00||
40861|RP BY BVF40861-BVF MJN ELIXIR SLEEVE(X5)|BVF|BVLGARI|2050000125065|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9030|PRINT MATERIAL|0|IDR|N|||ID|FC00||
40868|BVF TRAINING REMINDERS ELIXIRS MJN+JN EN|BVF|BVLGARI|2050000129568|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9030|PRINT MATERIAL|0|IDR|N|||ID|FC00||
40871|BVF TRAINING REMINDERS ELIXIRS MJN+JN CH|BVF|BVLGARI|2050000130274|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9030|PRINT MATERIAL|0|IDR|N|||ID|FC00||
40901|BVF MJN GLORIFIER|BVF|BVLGARI|783320409011|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
40914|BVF GLORIFIER|BVF|BVLGARI|2050000119644|BVF18|BVLGARI GENERAL|ZPOS|LA: POS Material|10|Fragrance|115|Fragrance - Unisex|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
40919|BVF MJN TREE OF SCENT|BVF|BVLGARI|783320409196|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
40922|BVF MJN BASE FOR TREE OF SCENT|BVF|BVLGARI|783320409226|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
40923|BVF MJN RIBBON TO BE PARFUMED|BVF|BVLGARI|783320409233|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9040|GWP|0|IDR|Y|||ID|FC00||
40932|BVF MJN TREE OF SCENT|BVF|BVLGARI|783320409325|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
40933|BVF MJN FLOWER BLOTTERS 1=100|BVF|BVLGARI|783320409332|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|50|Beauty Accessories|265|Beauty Accessories - Women|9090|SAMPLING CARDS|0|IDR|N|||ID|FC00||
40934|BVF MJN BASE FOR TREE OF SCENT|BVF|BVLGARI|783320409349|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
